Index;Formula;Author
Normalised Difference Vegetation Index (NDVI);$$\frac{\rho_{\text{790}}-\rho_{\text{685}}}{\rho_{\text{790}}+\rho_{\text{685}}}$$;\citet{rouse1973monitoring}
Normalized Difference Red Edge (NDRE);$$\frac{\rho_{790} - \rho_{720}}{\rho_{790} + \rho_{720}}$$;\citet{barnes2000coincident}
Normalized Difference Nitrogen Index (NDNI);$$\frac{\log_{10} \rho_{1510}^{-1} - \log_{10} \rho_{1680}^{-1}}{\log_{10} \rho_{1510}^{-1} + \log_{10} \rho_{1680}^{-1}}$$;\citet{serrano2002remote}
Modified Chlorophyll Absorption in Reflectance Index (MCARI);$$\frac{\rho_{700}}{\rho_{670}} \left[ 0.8 \cdot \rho_{700} - \rho_{670} - 0.2 \cdot \rho_{550} \right]$$;\citet{daughtry2000estimating}
Transformed Chlorophyll Absorption in Reflectance Index (TCARI);$$3 \left[ \rho_{700} - \rho_{670} - \frac{0.2\cdot\rho_{700}}{\rho_{670}} \left(\rho_{700} - \rho_{550} \right) \right]$$;\citet{haboudane2002integrated}
Green Chlorophyll Index (GCI);$$\frac{\rho_{\text{790}}}{\rho_{530}}-1$$;\citet{gitelson2003relationships}
Red Edge Chlorophyll Index (RECI);$$\frac{\rho_{\text{790}}}{\rho_{\text{720}}}-1$$;\citet{gitelson2003relationships}
Green Normalised Difference Vegetation Index (GNDVI);$$\frac{\rho_{\text{790}}-\rho_{530}}{\rho_{\text{790}}+\rho_{530}}$$;\citet{gitelson1996use}
Enhanced Vegetation Index (EVI);$$\frac{\frac{5}{2}(\rho_{\text{790}} - \rho_{\text{720}})}{\rho_{\text{790}} + 6 \ \rho_{\text{720}} + \frac{15}{2} \rho_{\text{470}} + 1}$$;\citet{huete2002overview}
Wide Dynamic Range Vegetation Index (WDRVI);$$\frac{\alpha \rho_{\text{790}}-\rho_{\text{720}}}{\alpha \rho_{\text{790}}+\rho_{\text{720}}}$$;\citet{gitelson2004wide}
R434;$$\frac{\rho_{\text{434}}}{\rho_{\text{496}} - \rho_{\text{401}}}$$;\citet{tian2011assessing}